"20730",78,554,662,66,480,74,596,652,76,508,566,560,62,84,66,60,582,558,614,404,0,712,70,562,572,60,66,76,58,66,72,564,700,74,66,584,68,68,78,70,570,64,64,586,76,570,590,86,70,74,546,458,492,570,580,100,74,74,530,682,472,512,350,490,614,64,162,60,116,82,584,460,702,68,382,66,524,640,50,78,68,88,68,76,566,676,544,88,590,108,84,82,560
"20735",750,182,54,750,280,744,152,104,750,272,158,190,778,736,752,744,158,188,146,382,712,0,750,198,158,748,752,784,762,774,758,190,56,766,748,160,762,736,716,736,184,750,764,154,760,176,160,698,716,758,216,304,258,206,170,724,764,776,228,54,298,252,442,250,132,742,696,754,746,764,158,318,22,766,404,742,230,48,742,758,770,768,736,746,176,46,218,744,158,684,764,752,170
"20919",32,588,702,28,486,24,628,686,26,506,596,590,38,64,32,22,620,586,660,394,70,750,0,580,606,28,24,42,32,28,48,590,736,32,32,624,22,22,40,42,596,20,30,628,38,602,616,58,22,24,566,446,514,578,606,48,30,40,542,718,472,528,342,510,652,28,162,24,108,36,624,468,740,24,378,44,546,684,22,26,30,50,16,34,588,712,562,44,620,90,28,28,552
"20923",586,88,154,568,100,564,106,140,568,98,122,92,596,602,574,564,90,108,122,192,562,198,580,0,92,584,572,612,588,594,602,100,194,598,564,74,584,578,546,568,40,564,580,116,608,98,84,530,548,574,78,132,110,74,104,580,594,606,74,168,112,110,254,92,116,576,626,570,650,608,120,144,188,586,210,588,86,150,578,590,596,610,562,566,124,164,68,584,84,500,600,572,120
"20930",608,76,116,590,128,584,60,96,590,124,82,76,618,620,600,584,62,74,98,220,572,158,606,92,0,602,592,634,606,620,612,84,156,624,590,56,606,594,572,584,74,590,606,26,616,72,54,556,574,596,92,162,116,80,68,606,616,632,90,118,136,100,286,92,76,594,632,596,666,626,62,152,148,612,236,610,80,118,594,612,622,636,584,594,90,118,78,610,52,534,622,594,90
"21112",48,580,700,36,488,44,624,686,46,508,588,588,42,64,40,36,612,582,652,400,60,748,28,584,602,0,40,50,40,40,36,590,730,40,40,616,38,36,52,42,596,32,38,624,58,594,612,56,40,44,568,450,504,582,606,74,36,44,544,712,474,528,352,500,644,46,162,32,114,52,610,470,738,30,380,48,544,678,18,44,34,54,32,36,590,712,564,62,612,106,42,48,560
"21133",36,576,700,20,482,16,614,680,18,492,592,578,26,68,20,22,608,572,648,386,66,752,24,572,592,40,0,42,24,32,52,578,736,40,28,612,14,24,32,42,588,20,18,614,40,588,606,66,26,16,556,450,500,566,592,54,32,48,530,718,464,518,336,496,640,24,164,20,120,36,606,458,742,32,370,48,530,682,26,28,34,54,12,26,568,712,546,54,606,98,46,24,552
"21166",42,614,732,42,516,46,656,718,48,532,628,618,20,26,42,52,648,614,680,424,76,784,42,612,634,50,42,0,30,34,34,618,768,26,50,652,44,32,54,34,626,40,36,656,20,630,640,92,50,42,596,482,540,606,634,52,26,18,568,750,498,550,374,536,680,38,128,38,90,22,650,498,774,32,408,50,572,706,36,38,28,32,36,48,614,744,588,56,648,124,24,42,580
"21173",32,590,712,24,492,24,628,694,26,510,598,590,26,48,20,30,620,586,660,406,58,762,32,588,606,40,24,30,0,32,40,590,744,28,32,624,26,24,34,30,604,22,18,628,32,606,624,70,28,20,572,462,512,582,606,64,28,32,546,730,474,530,356,514,648,20,142,16,108,40,622,476,752,26,390,24,548,684,26,40,26,48,18,26,586,722,560,46,624,102,42,32,564
"21301",44,600,726,40,498,32,642,708,38,518,608,604,22,52,28,38,634,600,672,402,66,774,28,594,620,40,32,34,32,0,48,604,758,24,42,638,30,22,38,40,608,28,26,642,34,616,634,74,40,32,578,460,526,592,620,46,24,28,554,740,484,544,352,522,666,32,150,24,104,32,636,480,764,26,390,44,558,698,26,28,34,40,28,38,596,734,574,58,634,106,38,28,570
